database_key,simulation_name,binary_type,reference_bibkeys,id_code,id_type,id_mass,id_rest_mass,id_mass_ratio,id_ADM_mass,id_ADM_angularmomentum,id_gw_frequency_Hz,id_gw_frequency_Momega22,id_eos,id_kappa2T,id_Lambda,id_eccentricity,id_mass_starA,id_rest_mass_starA,id_spin_starA,id_LoveNum_kell_starA,id_Lambdaell_starA,id_mass_starB,id_rest_mass_starB,id_spin_starB,id_LoveNum_kell_starB,id_Lambdaell_starB,evolution_code,grid_refinement_levels,grid_refinement_levels_moving,grid_refinement_levels_npoints,grid_refinement_levels_moving_npoints,grid_spacing_min,grid_symmetries,grid_shells,grid_shells_radial_npoints,grid_shells_angular_npoints,grid_conservative_amr,subgrid_model,metric_scheme,metric_boundary_conditions,hydro_flux,hydro_reconstruction,hydro_atmosphere_level,hydro_atmosphere_factor,number_of_orbits,evolution_mol_scheme,eos_evolution_Gamma_thermal,neutrino_scheme,available_resolutions,NR_simulation_key,id_gw_NR_frequency_Hz,Hybrid_window_freq_Hz,TEOB_Lambda_starA,TEOB_Lambda_starB,TEOB_version,available_runs,id_eccentricity_3PN
THC:0006:R01,BHBlp_1.400_1.400_0.00_0.00_0.058_0.083,BNS,Radice:2016rys Radice:2017lry,LORENE,Irrotational,2.8,3.06508,1.0,2.77062,7.44301,671.364,0.0581798075601,BHBlp,129.4931430579516,690.6300963090752,,1.4,1.53254,"0, 0, 0","0.09713, 0.02596, 0.00942","690.6300963090755, 1508.0652869857847, 3193.461363781705",1.4,1.53254,"0, 0, 0","0.09713, 0.02596, 0.00942","690.6300963090755, 1508.0652869857847, 3193.461363781705",THC,7,,,,0.083333,bitant,no,,,yes,,Z4c,,HLLE,MP5,1.000000e-14,0.000000,2.753735e+00,RK3,,Leakage,,,,,,,,,
THC:0035:R01,SFHo_1.460_1.460_0.00_0.00_0.062_0.125,BNS,Radice:2016rys Radice:2017lry,LORENE,Irrotational,2.92,3.246,1.0,2.88966,7.99412,681.952,0.0616300979826,SFHo,46.59033323134524,248.4817772338415,,1.46,1.623,"0, 0, 0","0.07447, 0.01891, 0.00653","248.4817772338413, 380.8873027166004, 567.1290420395254",1.46,1.623,"0, 0, 0","0.07447, 0.01891, 0.00653","248.4817772338413, 380.8873027166004, 567.1290420395254",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,,HLLE,MP5,1.000000e-14,0.000000,3.150707e+00,RK3,,Leakage,,,,,,,,,
BAM:0130:R01,SLy_1.800_0.900_0.00_0.00_0.0322_0.062,BNS,Ujevic:2022qle,SGRID,CRV,2.700222e+00,3.041406e+00,2.000037e+00,2.682408e+00,7.135314e+00,3.854850e+02,3.221338e-02,SLy,1.095427e+02,5.670299e+02,1.545577e-04,1.800159e+00,2.081290e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","5.027746e-02, 1.191112e-02, 3.796361e-03","4.337128e+01, 3.610602e+01, 2.888448e+01",9.000627e-01,9.601159e-01,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.344865e-01, 4.048316e-02, 1.661270e-02","4.089508e+03, 1.798582e+04, 7.702496e+04",,7,4,0,256,6.225000e-02,box bitant,no,,,yes,,Z4c,background radcentered,HO_LLF,WENOZ,1.000000e-12,1.000000e+02,16.146478,RungeKutta4,1.75,,,,,,,,,,
BAM:0159:R01,H4_1.797_1.106_0.41_-0.24_0.024_R01,BNS,Schianchi:2024vvi,SGRID,CRV,2.902295,3.20186,1.624971962143467,2.876201,8.035358,541.2003500705268,0.04861038,H4,158.8977,828.4683830833965,0.013896474905616464,1.796647,2.01977,"1.1207911286003638e-13, -4.282573317824127e-13, 0.4142419701091572","0.06848632, 0.017959, 0.00635708","136.34246079490944, 175.54435409260202, 217.92736866052255",1.105648,1.18209,"1.5154746500426467e-12, 3.9374541013071735e-12, -0.23771181309660766","0.1357265, 0.04135686, 0.01717596","3460.544949424767, 14357.731901507352, 57994.88657344706",BAM14,6,2,192,96,12.287999999999998,box bitant,no,,,yes,no,Z4c,background radcentered,HO_LLF,WENOZ,1e-11,100.0,3.453071311119057,RK4,1.75,no,,,,,,,,,
THC:0081:R01,LS220_1.364_1.364_0.00_0.00_0.048_M0_LK_0.167,BNS,Nedora:2020hxc,LORENE,Irrotational,2.728,3.0391792669797315,1.0,2.703,7.398,564.95,0.04769914322758236,LS220,119.76062511866614,638.7233339662195,,1.364,1.5195896334898658,"0,0,0","0.09610390146173745,0.026885048539697164,0.01022255991790212","638.7233339662193,1420.94671705193,3068.9781880590344",1.364,1.5195896334898658,"0,0,0","0.09610390146173745,0.026885048539697164,0.01022255991790212","638.7233339662193,1420.94671705193,3068.9781880590344",THC,7,,,,0.167,bitant,no,,,yes,LK,Z4c,flat,HLLE,MP5,1e-14,0.0,4.343113754634172,RK3,,M0,,,,,,,,,
BAM:0098:R01,SLy_1.350_1.350_0.00_0.00_0.038_0.228_R01s,BNS,-,SGRID,CRV,2.699996e+00,2.989214e+00,1.000000e+00,2.677600e+00,7.660461e+00,4.546168e+02,3.798726e-02,SLy,7.314570e+01,3.901104e+02,7.842923e-03,1.349998e+00,1.494607e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.317000e-02, 2.551000e-02, 9.490000e-03","3.901104e+02, 7.060784e+02, 1.240257e+03",1.349998e+00,1.494607e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.317000e-02, 2.551000e-02, 9.490000e-03","3.901104e+02, 7.060784e+02, 1.240257e+03",bam_12.04,7,4,128,64,2.280000e-01,bitant,yes,128,56,no,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,11.4655937201,RungeKutta4,1.75,,,,,,,,,,
BAM:0138:R01,MPA1_1.744_1.570_0.00_0.00_0.059_R01_dxyz4.87_nxyz384_nmxyz192_l6,BNS,Dudi:2021abi,Sgrid,Irrotational,3.313767224706427,3.7509000024480867,1.1111118973773182,3.279012171371267,10.444306272322311,572.2311181710372,0.05868804852637581,MPA1,33.54914693860789,178.92878367257543,1.2909143313790438e-02,1.7440885976174536,1.9880000000137767,"0, 0, 0","0.07752684, 0.01981982, 0.006844058","126.30145041734818, 146.32042803666062, 163.5459914960824",1.5696786270889738,1.9880000000137767,"0, 0, 0","0.0920684, 0.02461572, 0.008908616","249.22789273493504, 369.9640388492536, 530.9945841048858",BAM,6,2,192,384,0.0760416666666667,,,,,,,,,HO_LLF,WENOZ,1e-11,1e2,,,,,,,,,,,,,
BAM:0016:R01,ALF2_1.600_1.600_0.00_0.00_0.0334_0.167,BNS,-,SGRID,CRV,3.200058e+00,3.596372e+00,1.000000e+00,3.163722e+00,1.113222e+01,3.375910e+02,3.343321e-02,ALF2,4.613097e+01,2.460318e+02,2.626643e-03,1.600029e+00,1.798186e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.254000e-02, 2.515000e-02, 9.190000e-03","2.460318e+02, 3.685794e+02, 5.302880e+02",1.600029e+00,1.798186e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","9.254000e-02, 2.515000e-02, 9.190000e-03","2.460318e+02, 3.685794e+02, 5.302880e+02",bam_14.07,7,4,240,96,1.666667e-01,bitant,no,NAN,NAN,yes,,Z4c,background,LLF,WENOZ,1.000000e-11,1.000000e+02,15.2288441805,RungeKutta4,1.75,,,,,,,,,,
BAM:0160:R01,H4_1.797_1.106_-0.41_0.24_0.024_R01,BNS,Schianchi:2024vvi,SGRID,CRV,2.902295,3.20186,1.624971962143467,2.876238,7.699382,541.498614708211,0.04863717,H4,158.8999,828.4499460110258,0.018251677392209766,1.796647,2.01977,"-1.1207911286003638e-13, 4.282573317824127e-13, -0.4142419701091572","0.06848629, 0.01795899, 0.006357021","136.3430902909404, 175.54549868976116, 217.92732901170453",1.105648,1.18209,"-1.5154746500426467e-12, -3.9374541013071735e-12, 0.23771181309660766","0.1357275, 0.04135734, 0.01717718","3460.450958748269, 14357.204493832145, 57995.401293289004",BAM14,6,2,192,96,12.287999999999998,box bitant,no,,,yes,no,Z4c,background radcentered,HO_LLF,WENOZ,1e-11,100.0,4.514975893947245,RK4,1.75,no,,,,,,,,,
THC:0027:R01,LS220_1.710_1.710_0.00_0.00_0.076_0.125,BNS,Radice:2016rys Radice:2017lry,LORENE,Irrotational,3.42,3.85536,1.0,3.38306,10.5037,721.974,0.0764194421842,LS220,21.751101609140452,116.00587524874906,,1.71,1.92768,"0, 0, 0","0.063, 0.01601, 0.00551","116.00587524874915, 140.2985043092244, 164.13739856199683",1.71,1.92768,"0, 0, 0","0.063, 0.01601, 0.00551","116.00587524874915, 140.2985043092244, 164.13739856199683",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,,HLLE,MP5,1.000000e-14,0.000000,2.312220e+00,RK3,,Leakage,,,,,,,,,
BAM:0074:R01,MS1b_1.381_1.381_0.00_0.00_0.0119_0.191_ecc_0.47,BNS,-,SGRID,CRV,2.761651e+00,3.008000e+00,1,2.748643e+00,9.176623e+00,1.392569e+02,1.190186e-02,MS1b,2.543553e+02,1.356562e+03,,1.380825e+00,1.504000e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.313300e-01, 3.883000e-02, 1.558000e-02","1.356562e+03, 3.804870e+03, 1.034448e+04",1.380825e+00,1.504000e+00,"0.000000e+00, 0.000000e+00, 0.000000e+00","1.313300e-01, 3.883000e-02, 1.558000e-02","1.356562e+03, 3.804870e+03, 1.034448e+04",bam_14.07,9,3,192,96,1.909479e-01,bitant,no,NAN,NAN,yes,,Z4c,radiative,LLF,WENOZ,1.000000e-14,1.000000e+02,13.5,RungeKutta4,1.75,,,,,,,,,,
THC:0107:R01,BLh_1.600_1.600_0.00_0.00_0.070_M0_0.125,BNS,Prakash:2021wpz,LORENE,Irrotational,3.2,3.608722668020871,1.0,3.1627,9.34379,352.526,0.06982763394241859,BLh,31.437809871278397,167.66831931348477,,1.6,1.8043613340104354,"0,0,0","0.06818051842059988,0.017225379392042453,0.005905324321461301","167.6683193134848,226.33008788695935,296.1229031365546",1.6,1.8043613340104354,"0,0,0","0.06818051842059988,0.017225379392042453,0.005905324321461301","167.6683193134848,226.33008788695935,296.1229031365546",THC,7,,,,0.125,bitant,no,,,yes,none,Z4c,flat,HLLE,MP5,1e-14,0.0,2.5520414974697934,RK3,,M0,,,,,,,,,
BAM:0162:R01,SLy_1.350_1.350_0.00_0.00_0.022_R01,BNS,Schianchi:2024vvi,SGRID,CRV,2.699986,2.98938,1.0,2.675518,7.37878,525.8116482903101,0.04393606,SLy,73.17581,390.1700912868483,0.016714040874868805,1.349993,1.49469,"0.0, 0.0, 0.0","0.09314162, 0.02551466, 0.009495125","390.1685204473859, 706.6560800589139, 1241.9406447050183",1.349993,1.49469,"0.0, 0.0, 0.0","0.09314159, 0.02551469, 0.009494989","390.17166212631054, 706.6651957165327, 1241.9415764784312",BAM14,6,2,192,96,10.112,box bitant,no,,,yes,no,Z4c,background radcentered,HO_LLF,WENOZ,1e-11,100.0,7.069621915932666,RK4,1.75,no,,,,,,,,,
THC:0011:R01,DD2_1.250_1.250_0.00_0.00_0.050_0.125,BNS,Radice:2016rys Radice:2017lry,LORENE,Irrotational,2.5,2.70598,1.0,2.47564,6.16715,644.684,0.0498819129216,DD2,242.86873383835237,1295.299913804546,,1.25,1.35299,"0, 0, 0","0.10517, 0.02864, 0.01061","1295.2999138045457, 3590.1232699912975, 9669.000432709556",1.25,1.35299,"0, 0, 0","0.10517, 0.02864, 0.01061","1295.2999138045457, 3590.1232699912975, 9669.000432709556",THC,7,,,,0.125,bitant,no,,,yes,,Z4c,,HLLE,MP5,1.000000e-14,0.000000,3.597929e+00,RK3,,Leakage,,,,,,,,,
THC:0079:R01,LS220_1.364_1.364_0.00_0.00_0.048_0.167,BNS,Nedora:2020hxc,LORENE,Irrotational,2.728,3.0391792669797315,1.0,2.703,7.398,564.95,0.04769914322758236,LS220,119.76062511866614,638.7233339662195,,1.364,1.5195896334898658,"0,0,0","0.09610390146173745,0.026885048539697164,0.01022255991790212","638.7233339662193,1420.94671705193,3068.9781880590344",1.364,1.5195896334898658,"0,0,0","0.09610390146173745,0.026885048539697164,0.01022255991790212","638.7233339662193,1420.94671705193,3068.9781880590344",THC,7,,,,0.167,bitant,no,,,yes,,Z4c,flat,HLLE,MP5,1e-14,0.0,4.135925601104072,RK3,,,,,,,,,,,
